mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/2	4	1	Eb.I					Eb	I		I	I							M	0	0	-3, 1, -2		-3.0	-3.0	0	4	0.0	0.0	2.0	0.0
1	1	1/2	1/2	2/2	4	1	V2/IV					Eb	I		V2/IV	V		2		IV			Mm7	0	0	-5, -3, 1, -2		-3.0	-5.0	0	4	0.0	0.0	1.5	0.0
1	1	7/8	7/8	2/2	4	1	IV6					Eb	I		IV6	IV		6					M	0	0	0, -3, -4		-4.0	0.0	0	4	0.0	0.0	0.5	0.0
2	2	0	0	2/2	4	1	V43/IV					Eb	I		V43/IV	V		43		IV			Mm7	0	0	-2, -5, -3, 1		-3.0	-2.0	0	4	0.0	0.0	1.0	0.0
3	3	0	0	2/2	4	1	I					Eb	I		I	I							M	0	0	-3, 1, -2		-3.0	-3.0	0	4	0.0	0.0	2.0	0.0
3	3	1/2	1/2	2/2	4	1	V2/IV					Eb	I		V2/IV	V		2		IV			Mm7	0	0	-5, -3, 1, -2		-3.0	-5.0	0	4	0.0	0.0	1.5	0.0
3	3	7/8	7/8	2/2	4	1	IV6					Eb	I		IV6	IV		6					M	0	0	0, -3, -4		-4.0	0.0	0	4	0.0	0.0	0.5	0.0
4	4	0	0	2/2	4	1	viio65/ii	-1.17551	-2.36939	/		Eb	I		viio65/ii	vii	o	65		ii			o7	0	0	-6, -9, -12, -3		-3.0	-6.0	6	0	1.0	2.5	0.0	1.0
5	5	0	0	2/2	4	1	bVII6(6+#7)	-6.00815	-2.36939	/		Eb	I		bVII6(6+#7)	bVII		6	6+#7				M	0	0	-1, -2, -5	7	-5.0	-1.0	1	3	0.25	0.5	2.0	0.2
5	5	1/2	1/2	2/2	4	1	bVII6	-1.69796	-2.36939	/		Eb	I		bVII6	bVII		6					M	0	0	-1, -4, -5		-5.0	-1.0	0	2	0.0	0.0	1.0	0.0
5	5	3/4	3/4	2/2	4	1	V7	0.261224	-2.5	/		Eb	I		V7	V		7					Mm7	0	0	-2, 2, -1, -4		-2.0	-2.0	0	2	0.0	0.0	0.5	0.0
6	6	0	0	2/2	4	1	I(9+74)					Eb	I		I(9+74)	I			9+74				M	0	0	-3, -4, -2	-1, 2	-3.0	-3.0	0	4	0.0	0.0	2.0	0.0
6	6	1/4	1/4	2/2	4	1	I(+7b64)	0	-2.63061	/		Eb	I		I(+7b64)	I			+7b64				M	0	0	-3, -4, -7	2	-3.0	-3.0	0	1	0.0	0.0	0.25	0.0
6	6	1/2	1/2	2/2	4	1	I					Eb	I		I	I							M	0	0	-3, 1, -2		-3.0	-3.0	0	3	0.0	0.0	0.75	0.0
6	6	3/4	3/4	2/2	4	1	V6/V					Eb	I		V6/V	V		6		V			M	0	0	3, 0, -1		-1.0	3.0	0	6	0.0	0.0	1.0	0.0
7	7	0	0	2/2	4	1	V7(4)	0	-2.99902	/		Eb	I		V7(4)	V		7	4				Mm7	0	0	-2, -3, -1, -4		-2.0	-2.0	0	4	0.0	0.0	2.25	0.0
7	7	1/4	1/4	2/2	4	1	V7					Eb	I		V7	V		7					Mm7	0	0	-2, 2, -1, -4		-2.0	-2.0	0	1	0.0	0.0	0.25	0.0
7	7	1/2	1/2	2/2	4	1	V7(9)					Eb	I		V7(9)	V		7	9				Mm7	0	0	-2, 2, -1, -4	0	-2.0	-2.0	0	3	0.0	0.0	0.875	0.0
7	7	3/4	3/4	2/2	4	1	V(64)					Eb	I		V(64)	V			64				M	0	0	-2, -3, 1		-2.0	-2.0	0	3	0.0	0.0	0.625	0.0
8	8	0	0	2/2	4	1	V7/ii					Eb	I		V7/ii	V		7		ii			Mm7	0	0	0, 4, 1, -2		0.0	0.0	0	4	0.0	0.0	1.25	0.0
8	8	1/4	1/4	2/2	4	1	V(64)/ii	-0.65306	-2.46939	/		Eb	I		V(64)/ii	V			64	ii			M	0	0	0, -1, -4		0.0	0.0	0	3	0.0	0.0	0.5	0.0
8	8	1/2	1/2	2/2	4	1	V43					Eb	I		V43	V		43					Mm7	0	0	-1, -4, -2, 2		-2.0	-1.0	0	4	0.0	0.0	1.125	0.0
8	8	3/4	3/4	2/2	4	1	I6					Eb	I		I6	I		6					M	0	0	1, -2, -3		-3.0	1.0	0	4	0.0	0.0	0.625	0.0
9	9	0	0	2/2	4	1	ii6(2)					Eb	I		ii6(2)	ii		6	2				m	0	0	-4, 0, 1		-1.0	-4.0	0	5	0.0	0.0	1.0625	0.0
9	9	5/16	5/16	2/2	4	1	ii6					Eb	I		ii6	ii		6					m	0	0	-4, 0, -1		-1.0	-4.0	3	4	0.42857142857142855	0.1875	0.25	0.42857142857142855
9	9	3/4	3/4	2/2	4	1	ii					Eb	I		ii	ii							m	0	0	-1, -4, 0		-1.0	-1.0	2	7	0.2222222222222222	0.125	1.375	0.08333333333333333
10	10	1/4	1/4	2/2	4	1	ii%2					Eb	I		ii%2	ii	%	2					%7	0	0	-3, -1, -4, -7		-1.0	-3.0	1	5	0.16666666666666666	0.0625	1.1875	0.05
10	10	1/2	1/2	2/2	4	1	V65					Eb	I		V65	V		65					Mm7	0	0	2, -1, -4, -2		-2.0	2.0	0	8	0.0	0.0	1.125	0.0
10	10	3/4	3/4	2/2	4	1	I	0	-3.59785	/		Eb	I		I	I							M	0	0	-3, 1, -2		-3.0	-3.0	0	7	0.0	0.0	0.9375	0.0
10	10	15/16	15/16	2/2	4	1	I6	0	-3.29844	/		Eb	I		I6	I		6					M	0	0	1, -2, -3		-3.0	1.0	1	1	0.5	0.03125	0.03125	0.5
11	11	0	0	2/2	4	1	ii65					Eb	I		ii65	ii		65					mm7	0	0	-4, 0, -3, -1		-1.0	-4.0	0	8	0.0	0.0	1.5	0.0
11	11	3/4	3/4	2/2	4	1	I64	-1.26817	-2.5	/		Eb	I		I64	I		64					M	0	0	-2, -3, 1		-3.0	-2.0	0	4	0.0	0.0	0.5	0.0
11	11	7/8	7/8	2/2	4	1	IV6					Eb	I		IV6	IV		6					M	0	0	0, -3, -4		-4.0	0.0	0	4	0.0	0.0	0.5	0.0
12	12	0	0	2/2	4	1	V(64)					Eb	I		V(64)	V			64				M	0	0	-2, -3, 1		-2.0	-2.0	0	4	0.0	0.0	1.0	0.0
12	12	1/4	1/4	2/2	4	1	V65/V					Eb	I		V65/V	V		65		V			Mm7	0	0	3, 0, -3, -1		-1.0	3.0	0	4	0.0	0.0	1.0	0.0
12	12	5/8	5/8	2/2	4	1	V43/IV					Eb	I		V43/IV	V		43		IV			Mm7	0	0	-2, -5, -3, 1		-3.0	-2.0	0	4	0.0	0.0	0.5	0.0
