mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	2.0	0	0	4/4	4	1	E.I	E	I		I	I							M	0	0	0, 4, 1		0	0
1	1	2	2.0	1/2	1/2	4/4	4	1	V	E	I		V	V							M	0	0	1, 5, 2		1	1
2	2	4	2.0	0	0	4/4	4	1	ii	E	I		ii	ii							m	0	0	2, -1, 3		2	2
2	2	6	2.0	1/2	1/2	4/4	4	1	vi	E	I		vi	vi							m	0	0	3, 0, 4		3	3
3	3	8	2.0	0	0	4/4	4	1	viio2	E	I		viio2	vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
3	3	10	1.0	1/2	1/2	4/4	4	1	I64	E	I		I64	I		64					M	0	0	1, 0, 4		0	1
3	3	11	0.75	3/4	3/4	4/4	4	1	ii6(4)	E	I		ii6(4)	ii		6	4				m	0	0	1, 3, 2		2	1
3	3	47/4	0.25	15/16	15/16	4/4	4	1	ii6	E	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	4	12	2.0	0	0	4/4	4	1	V(64)	E	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
4	4	14	2.0	1/2	1/2	4/4	4	1	V\\	E	I		V	V						\\	M	0	0	1, 5, 2		1	1
5	5	16	2.0	0	0	4/4	4	1	v6	E	I		v6	v		6					m	0	0	-2, 2, 1		1	-2
5	5	18	2.0	1/2	1/2	4/4	4	1	IV	E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
6	6	20	2.0	0	0	4/4	4	1	V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	22	2.0	1/2	1/2	4/4	4	1	V6/vi	E	I		V6/vi	V		6		vi			M	0	0	8, 5, 4		4	8
7	7	24	2.0	0	0	4/4	4	1	viio6/V	E	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
7	7	26	2.0	1/2	1/2	4/4	4	1	V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	28	2.0	0	0	4/4	4	1	I\\	E	I		I	I						\\	M	0	0	0, 4, 1		0	0
8	8	30	1.0	1/2	1/2	4/4	4	1	V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
