mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	6.0	0	0	2/4	4	1	D.I		D	I		I		I							M	0	0	0, 4, 1		0	0
4	4	6	6	2.0	0	0	2/4	4	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
5	5	8	8	1.0	0	0	2/4	4	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
5	5	9	9	3.0	1/4	1/4	2/4	4	1	V7/IV		D	I		V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
7	7	12	12	1.5	0	0	2/4	4	1	iv[iv		D	I	iv	iv		iv							m	0	0	-1, -4, 0		-1	-1
7	7	27/2	27/2	0.5	3/8	3/8	2/4	4	1	#viio6/iv		D	I	iv	#viio6/iv		#vii	o	6		iv			o	0	0	1, -2, 4		4	1
8	8	14	14	1.0	0	0	2/4	4	1	iv]		D	I	iv	iv		iv							m	0	0	-1, -4, 0		-1	-1
8	8	15	15	2.0	1/4	1/4	2/4	4	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
9	9	17	17	0.5	1/4	1/4	2/4	4	1	viio6		D	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
9	9	35/2	35/2	0.5	3/8	3/8	2/4	4	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
10	10	18	18	1.0	0	0	2/4	4	1	V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	10	19	19	0.5	1/4	1/4	2/4	4	1	#io		D	I		#io		#i	o						o	0	0	7, 4, 1		7	7
10	10	39/2	39/2	0.5	3/8	3/8	2/4	4	1	V65		D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
11	11	20	20	1.0	0	0	2/4	4	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
11	11	21	21	2.0	1/4	1/4	2/4	4	1	viio43/V		D	I		viio43/V		vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
12	12	23	23	1.0	1/4	1/4	2/4	4	1	V\\		D	I		V		V						\\	M	0	0	1, 5, 2		1	1
13	13	24	24	1.0	0	0	2/4	4	1	V(b9)		D	I		V(b9)		V			b9				M	0	0	1, 5, 2	-4	1	1
13	13	25	25	1.0	1/4	1/4	2/4	4	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
14	14	26	26	1.0	0	0	2/4	4	1	I64(b6)		D	I		I64(b6)		I		64	b6				M	0	0	-4, 0, 4		0	-4
14	14	27	27	0.5	1/4	1/4	2/4	4	1	I64		D	I		I64		I		64					M	0	0	1, 0, 4		0	1
14	14	55/2	55/2	0.5	3/8	3/8	2/4	4	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
15	15	28	28	1.0	0	0	2/4	4	1	V43		D	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
15	15	29	29	1.0	1/4	1/4	2/4	4	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
16	16	30	30	2.0	0	0	2/4	4	1	V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
17	17	32	32	2.0	0	0	2/4	4	1	V43(b9)		D	I		V43(b9)		V		43	b9				Mm7	0	0	2, -1, 1, 5	-4	1	2
18	18	34	34	1.0	0	0	2/4	4	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
18	18	35	35	1.0	1/4	1/4	2/4	4	1	V65(2)/ii		D	I		V65(2)/ii		V		65	2	ii			Mm7	0	0	7, 4, 1, -2		3	7
19	19	36	36	1.0	0	0	2/4	4	1	V65/ii		D	I		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
19	19	37	37	1.0	1/4	1/4	2/4	4	1	ii		D	I		ii		ii							m	0	0	2, -1, 3		2	2
20	20	38	38	1.0	0	0	2/4	4	1	V43(b2)		D	I		V43(b2)		V		43	b2				Mm7	0	0	2, -1, -4, 5		1	2
20	20	39	39	2.0	1/4	1/4	2/4	4	1	V43		D	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
21	21	41	41	1.0	1/4	1/4	2/4	4	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
22	22	42	42	0.5	0	0	2/4	4	1	IV		D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
22	22	85/2	85/2	0.5	1/8	1/8	2/4	4	1	ii6		D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
22	22	43	43	1.0	1/4	1/4	2/4	4	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
23	23	44	44	1.0	0	0	2/4	4	1	I(+b7+b2)		D	I		I(+b7+b2)		I			+b7+b2				M	0	0	0, 4, 1	-2, -5	0	0
23	23	45	45	1.0	1/4	1/4	2/4	4	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
24	24	46	46	1.0	0	0	2/4	4	1	iv64(+6+#4)		D	I		iv64(+6+#4)		iv		64	+6+#4				m	0	0	0, -1, -4	2, 12	-1	0
24	24	47	47	2.0	1/4	1/4	2/4	4	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
25	25	49	49	0.5	1/4	1/4	2/4	4	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
25	25	99/2	99/2	0.5	3/8	3/8	2/4	4	1	IV		D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
26	26	50	50	1.0	0	0	2/4	4	1	V(64)		D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
26	26	51	51	1.0	1/4	1/4	2/4	4	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
27	27	52	52	1.0	0	0	2/4	4	1	I(+b7+b2)		D	I		I(+b7+b2)		I			+b7+b2				M	0	0	0, 4, 1	-2, -5	0	0
27	27	53	53	1.0	1/4	1/4	2/4	4	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
28	28	54	54	1.0	0	0	2/4	4	1	iv64(+6+#4)		D	I		iv64(+6+#4)		iv		64	+6+#4				m	0	0	0, -1, -4	2, 12	-1	0
28	28	55	55	2.0	1/4	1/4	2/4	4	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
29	29	57	57	0.5	1/4	1/4	2/4	4	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
29	29	115/2	115/2	0.5	3/8	3/8	2/4	4	1	IV64		D	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0
30	30	58	58	1.0	0	0	2/4	4	1	V(64)		D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
30	30	59	59	1.0	1/4	1/4	2/4	4	1	V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
31	31	60	60	0.5	0	0	2/4	4	1	I\\		D	I		I		I						\\	M	0	0	0, 4, 1		0	0
31	31	121/2	121/2	1.0	1/8	1/8	2/4	4	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
31	31	123/2	123/2	0.5	3/8	3/8	2/4	4	1	IV6		D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
32	32	62	62	0.5	0	0	2/4	4	1	vi		D	I		vi		vi							m	0	0	3, 0, 4		3	3
32	32	125/2	125/2	0.5	1/8	1/8	2/4	4	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
32	32	63	63	1.0	1/4	1/4	2/4	4	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
33	33	64	64	1.0	0	0	2/4	4	1	I[I64		D	I	I	I64		I		64					M	0	0	1, 0, 4		0	1
33	33	65	65	1.0	1/4	1/4	2/4	4	1	viio2		D	I	I	viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
34	34	66	66	2.0	0	0	2/4	4	1	I64]\\		D	I	I	I64		I		64				\\	M	0	0	1, 0, 4		0	1
35	35	68	68	2.0	0	0	2/4	4	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
36	36	70	70	5.0	0	0	2/4	4	1	@none		D	I		@none		@none							m	0	0				
38	38	75	75	0.5	1/4	1/4	2/4	4	1	V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
38	38	151/2	151/2	1.5	3/8	3/8	2/4	4	1	V2/IV		D	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
39	39	77	77	1.0	1/4	1/4	2/4	4	1	viio(2)/V		D	I		viio(2)/V		vii	o		2	V			o	0	0	1, 3, 0		6	1
40	40	78	78	1.0	0	0	2/4	4	1	viio64/IV		D	I		viio64/IV		vii	o	64		IV			o	0	0	-2, 4, 1		4	-2
40	40	79	79	1.0	1/4	1/4	2/4	4	1	viio		D	I		viio		vii	o						o	0	0	5, 2, -1		5	5
41	41	80	80	1.0	0	0	2/4	4	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
41	41	81	81	2.0	1/4	1/4	2/4	4	1	i		D	I		i		i							m	0	0	0, -3, 1		0	0
42	42	83	83	1.0	1/4	1/4	2/4	4	1	#ivo2		D	I		#ivo2		#iv	o	2					o7	0	0	-3, 6, 3, 0		6	-3
43	43	84	84	0.5	0	0	2/4	4	1	viio7		D	I		viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
43	43	169/2	169/2	0.5	1/8	1/8	2/4	4	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
43	43	85	85	0.5	1/4	1/4	2/4	4	1	viio64		D	I		viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
43	43	171/2	171/2	0.5	3/8	3/8	2/4	4	1	V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
44	44	86	86	1.0	0	0	2/4	4	1	I(4)		D	I		I(4)		I			4				M	0	0	0, -1, 1		0	0
44	44	87	87	1.0	1/4	1/4	2/4	4	1	viio		D	I		viio		vii	o						o	0	0	5, 2, -1		5	5
45	45	88	88	1.0	0	0	2/4	4	1	bIII6		D	I		bIII6		bIII		6					M	0	0	1, -2, -3		-3	1
