mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	1.5	0	3/8	6/8	4	1	D.I	D	I		I		I							M	0	0	0, 4, 1		0	0
2	0	3/2	3/2	3.0	0	0	6/8	4	1	I[I	D	I	I	I		I							M	0	0	0, 4, 1		0	0
3	1	9/2	9/2	1.5	0	0	6/8	4	1	IV(#2)	D	I	I	IV(#2)		IV			#2				M	0	0	-1, 8, 0		-1	-1
3	1	6	6	6.0	3/8	3/8	6/8	4	1	IV	D	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
5	3	12	12	4.5	3/8	3/8	6/8	4	1	I	D	I	I	I		I							M	0	0	0, 4, 1		0	0
7	5	33/2	33/2	1.5	0	0	6/8	4	1	IV(#2)	D	I	I	IV(#2)		IV			#2				M	0	0	-1, 8, 0		-1	-1
7	5	18	18	4.5	3/8	3/8	6/8	4	1	IV	D	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
9	7	45/2	45/2	6.0	0	0	6/8	4	1	I	D	I	I	I		I							M	0	0	0, 4, 1		0	0
11	9	57/2	57/2	1.5	0	0	6/8	4	1	IV(#2)	D	I	I	IV(#2)		IV			#2				M	0	0	-1, 8, 0		-1	-1
11	9	30	30	1.5	3/8	3/8	6/8	4	1	IV6	D	I	I	IV6		IV		6					M	0	0	3, 0, -1		-1	3
12	10	63/2	63/2	3.0	0	0	6/8	4	1	IV64	D	I	I	IV64		IV		64					M	0	0	0, -1, 3		-1	0
13	11	69/2	69/2	1.0	0	0	6/8	4	1	vi	D	I	I	vi		vi							m	0	0	3, 0, 4		3	3
13	11	71/2	71/2	5.0	1/4	1/4	6/8	4	1	I	D	I	I	I		I							M	0	0	0, 4, 1		0	0
15	13	81/2	81/2	1.0	0	0	6/8	4	1	IV(4)	D	I	I	IV(4)		IV			4				M	0	0	-1, 5, 0		-1	-1
15	13	83/2	83/2	0.5	1/4	1/4	6/8	4	1	IV(#2)	D	I	I	IV(#2)		IV			#2				M	0	0	-1, 8, 0		-1	-1
15	13	42	42	1.5	3/8	3/8	6/8	4	1	IV	D	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
16	14	87/2	87/2	1.5	0	0	6/8	4	1	IV	D	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
16	14	45	45	1.5	3/8	3/8	6/8	4	1	IV	D	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
17	15	93/2	93/2	1.5	0	0	6/8	4	1	vi	D	I	I	vi		vi							m	0	0	3, 0, 4		3	3
17	15	48	48	1.5	3/8	3/8	6/8	4	1	I]	D	I	I	I		I							M	0	0	0, 4, 1		0	0
18	16	99/2	99/2	1.5	0	0	6/8	4	1	iii64	D	I		iii64		iii		64					m	0	0	5, 4, 1		4	5
18	16	51	51	1.0	3/8	3/8	6/8	4	1	iii%43	D	I		iii%43		iii	%	43					%7	0	0	-2, 2, 4, 1		4	-2
18	16	52	52	0.5	5/8	5/8	6/8	4	1	viio2/ii	D	I		viio2/ii		vii	o	2		ii			o7	0	0	-9, 0, -3, -6		0	-9
19	17	105/2	105/2	1.5	0	0	6/8	4	1	V7/ii	D	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
19	17	54	54	1.5	3/8	3/8	6/8	4	1	#viio/vi	D	I		#viio/vi		#vii	o			vi			o	0	0	8, 5, 2		8	8
20	18	111/2	111/2	1.0	0	0	6/8	4	1	V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	18	113/2	113/2	0.5	1/4	1/4	6/8	4	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
20	18	57	57	1.0	3/8	3/8	6/8	4	1	V(64)	D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
20	18	58	58	0.5	5/8	5/8	6/8	4	1	V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
