mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	2/4	4	1	F.iv6		F	I		iv6	iv		6					m	0	0	-4, 0, -1		-1	-4
2	2	2	2	2.0	0	0	2/4	4	1	V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	3	4	4	1.0	0	0	2/4	4	1	V7	iv	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	3	5	5	1.0	1/4	1/4	2/4	4	1	iv6		F	I		iv6	iv		6					m	0	0	-4, 0, -1		-1	-4
4	4	6	6	1.0	0	0	2/4	4	1	V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	7	7	1.0	1/4	1/4	2/4	4	1	V2		F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
5	5	8	8	0.5	0	0	2/4	4	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
5	5	17/2	17/2	0.5	1/8	1/8	2/4	4	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
5	5	9	9	0.5	1/4	1/4	2/4	4	1	V65		F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
5	5	19/2	19/2	0.5	3/8	3/8	2/4	4	1	V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	10	10	2.0	0	0	2/4	4	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
7	7	12	12	1.0	0	0	2/4	4	1	ii6		F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
7	7	13	13	0.5	1/4	1/4	2/4	4	1	V(4)		F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
7	7	27/2	27/2	0.5	3/8	3/8	2/4	4	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
8	8	14	14	1.375	0	0	2/4	4	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
8	8	123/8	123/8	0.625	11/32	11/32	2/4	4	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
9	9	16	16	0.5	0	0	2/4	4	1	I	V	F	I		I	I							M	0	0	0, 4, 1		0	0
9	9	33/2	33/2	0.5	1/8	1/8	2/4	4	1	ii6		F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
9	9	17	17	0.5	1/4	1/4	2/4	4	1	V(4)		F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
9	9	35/2	35/2	0.5	3/8	3/8	2/4	4	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
10	10	18	18	1.0	0	0	2/4	4	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
10	10	19	19	1.0	1/4	1/4	2/4	4	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
11	11	20	20	4.0	0	0	2/4	4	1	@none		F	I		@none	@none							m	0	0				
13	13	24	24	2.0	0	0	2/4	4	1	viio		F	I		viio	vii	o						o	0	0	5, 2, -1		5	5
14	14	26	26	2.0	0	0	2/4	4	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
15	15	28	28	4.0	0	0	2/4	4	1	V7/V		F	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
17	17	32	32	2.0	0	0	2/4	4	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
18	18	34	34	1.0	0	0	2/4	4	1	V65		F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
18	18	35	35	2.0	1/4	1/4	2/4	4	1	#viio7/ii		F	I		#viio7/ii	#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
19	19	37	37	2.0	1/4	1/4	2/4	4	1	ii6		F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
20	20	39	39	1.0	1/4	1/4	2/4	4	1	viio6		F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
21	21	40	40	0.5	0	0	2/4	4	1	V43		F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
21	21	81/2	81/2	0.5	1/8	1/8	2/4	4	1	I(9)		F	I		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
21	21	41	41	1.5	1/4	1/4	2/4	4	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
22	22	85/2	85/2	0.5	1/8	1/8	2/4	4	1	#viio/vi		F	I		#viio/vi	#vii	o			vi			o	0	0	8, 5, 2		8	8
22	22	43	43	1.0	1/4	1/4	2/4	4	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
23	23	44	44	1.0	0	0	2/4	4	1	V/vi		F	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4
23	23	45	45	1.0	1/4	1/4	2/4	4	1	viio2/V		F	I		viio2/V	vii	o	2		V			o7	0	0	-3, 6, 3, 0		6	-3
24	24	46	46	1.0	0	0	2/4	4	1	viio7/V		F	I		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
24	24	47	47	1.0	1/4	1/4	2/4	4	1	V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
25	25	48	48	1.0	0	0	2/4	4	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
25	25	49	49	3.0	1/4	1/4	2/4	4	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
27	27	52	52	4.0	0	0	2/4	4	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
29	29	56	56	4.0	0	0	2/4	4	1	V.V		F	V		V	V							M	0	0	1, 5, 2		1	1
31	31	60	60	2.0	0	0	2/4	4	1	V6		F	V		V6	V		6					M	0	0	5, 2, 1		1	5
32	32	62	62	1.0	0	0	2/4	4	1	V(4)/V		F	V		V(4)/V	V			4	V			M	0	0	2, 1, 3		2	2
32	32	63	63	1.0	1/4	1/4	2/4	4	1	V7/V		F	V		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
33	33	64	64	1.0	0	0	2/4	4	1	V(4)		F	V		V(4)	V			4				M	0	0	1, 0, 2		1	1
33	33	65	65	0.5	1/4	1/4	2/4	4	1	V		F	V		V	V							M	0	0	1, 5, 2		1	1
33	33	131/2	131/2	0.5	3/8	3/8	2/4	4	1	V7		F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
34	34	66	66	1.0	0	0	2/4	4	1	I(4)		F	V		I(4)	I			4				M	0	0	0, -1, 1		0	0
34	34	67	67	2.0	1/4	1/4	2/4	4	1	I		F	V		I	I							M	0	0	0, 4, 1		0	0
35	35	69	69	1.0	1/4	1/4	2/4	4	1	#VII+/vi		F	V		#VII+/vi	#VII	+			vi			+	0	0	8, 12, 16		8	8
36	36	70	70	1.0	0	0	2/4	4	1	#viio43/ii		F	V		#viio43/ii	#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
36	36	71	71	0.5	1/4	1/4	2/4	4	1	II6		F	V		II6	II		6					M	0	0	6, 3, 2		2	6
36	36	143/2	143/2	0.25	3/8	3/8	2/4	4	1	ii6(6)		F	V		ii6(6)	ii		6	6				m	0	0	-1, 5, 2		2	-1
36	36	287/4	287/4	0.25	7/16	7/16	2/4	4	1	ii6		F	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
37	37	72	72	0.5	0	0	2/4	4	1	I6(4)		F	V		I6(4)	I		6	4				M	0	0	-1, 1, 0		0	-1
37	37	145/2	145/2	0.5	1/8	1/8	2/4	4	1	I6		F	V		I6	I		6					M	0	0	4, 1, 0		0	4
37	37	73	73	0.5	1/4	1/4	2/4	4	1	V2		F	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
37	37	147/2	147/2	0.5	3/8	3/8	2/4	4	1	V		F	V		V	V							M	0	0	1, 5, 2		1	1
38	38	74	74	2.0	0	0	2/4	4	1	I\\		F	V		I	I						\\	M	0	0	0, 4, 1		0	0
39	39	76	76	4.0	0	0	2/4	4	1	V7		F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
41	41	80	80	2.5	0	0	2/4	4	1	I		F	V		I	I							M	0	0	0, 4, 1		0	0
42	42	165/2	165/2	0.5	1/8	1/8	2/4	4	1	I6		F	V		I6	I		6					M	0	0	4, 1, 0		0	4
42	42	83	83	0.5	1/4	1/4	2/4	4	1	I64		F	V		I64	I		64					M	0	0	1, 0, 4		0	1
42	42	167/2	167/2	0.5	3/8	3/8	2/4	4	1	I		F	V		I	I							M	0	0	0, 4, 1		0	0
