mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.5	0	0	9/8	4	1	d.i		d	i		i		i							m	1	1	0, -3, 1		0	0
1	1	3/2	1.5	3/8	3/8	9/8	4	1	i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
1	1	3	1.5	3/4	3/4	9/8	4	1	#viio6		d	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
2	2	9/2	1.5	0	0	9/8	4	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
2	2	6	1.5	3/8	3/8	9/8	4	1	i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
2	2	15/2	1.5	3/4	3/4	9/8	4	1	V43		d	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
3	3	9	1.5	0	0	9/8	4	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
3	3	21/2	1.5	3/8	3/8	9/8	4	1	i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
3	3	12	1.5	3/4	3/4	9/8	4	1	V		d	i		V		V							M	1	1	1, 5, 2		1	1
4	4	27/2	3.0	0	0	9/8	4	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
4	4	33/2	1.5	3/4	3/4	9/8	4	1	VI6		d	i		VI6		VI		6					M	1	1	0, -3, -4		-4	0
5	5	18	1.5	0	0	9/8	4	1	#viio65(2)		d	i		#viio65(2)		#vii	o	65	2				o7	1	1	2, -1, -4, 0		5	2
5	5	39/2	7.5	3/8	3/8	9/8	4	1	#viio65		d	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
7	7	27	1.5	0	0	9/8	4	1	i6(2)		d	i		i6(2)		i		6	2				m	1	1	-3, 1, 2		0	-3
7	7	57/2	2.0	3/8	3/8	9/8	4	1	i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
7	7	61/2	0.5	7/8	7/8	9/8	4	1	#viio6		d	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
7	7	31	0.5	1	1	9/8	4	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
8	8	63/2	1.5	0	0	9/8	4	1	ii%65(2)		d	i		ii%65(2)		ii	%	65	2				%7	1	1	-1, -4, 0, -3		2	-1
8	8	33	1.5	3/8	3/8	9/8	4	1	ii%65		d	i		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
8	8	69/2	1.5	3/4	3/4	9/8	4	1	V65/V		d	i		V65/V		V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
9	9	36	2.0	0	0	9/8	4	1	V\\		d	i		V		V						\\	M	1	1	1, 5, 2		1	1
9	9	38	1.0	1/2	1/2	9/8	4	1	V65		d	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
9	9	39	0.5	3/4	3/4	9/8	4	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
