mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	0	4.0	2	2/2	1	0						firstMeasure	2
2	2	4	4	4.0	2	2/2	1	0							3
3	3	8	8	4.0	2	2/2	1	0						start	4
4	4	12	12	4.0	2	2/2	1	0							5
5	5	16	16	4.0	2	2/2	1	0					line		6
6	6	20	20	4.0	2	2/2	1	0							7
7	7	24	24	4.0	2	2/2	1	0							8
8	8	28	28	4.0	2	2/2	1	0							9
9	9	32	32	4.0	2	2/2	1	0							10
10	10	36	36	4.0	2	2/2	1	0							11
11	11	40	40	4.0	2	2/2	1	0					page		12
12	12	44	44	4.0	2	2/2	1	0							13
13	13	48	48	4.0	2	2/2	1	0							14
14	14	52	52	4.0	2	2/2	1	0							15
15	15	56	56	4.0	2	2/2	1	0							16
16	16	60	60	4.0	2	2/2	1	0					line		17
17	17	64	64	4.0	2	2/2	1	0							18
18	18	68	68	4.0	2	2/2	1	0							19
19	19	72	72	4.0	2	2/2	1	0							20
20	20	76	76	4.0	2	2/2	1	0					line		21
21	21	80	80	4.0	2	2/2	1	0							22
22	22	84	84	4.0	2	2/2	1	0							23
23	23	88	88	4.0	2	2/2	1	0							24
24	24	92	92	4.0	2	2/2	1	0					page		25
25	25	96	96	4.0	2	2/2	1	0							26
26	26	100	100	4.0	2	2/2	1	0							27
27	27	104	104	4.0	2	2/2	1	0							28
28	28	108	108	4.0	2	2/2	1	0					line		29
29	29	112	112	4.0	2	2/2	1	0							30
30	30	116	116	4.0	2	2/2	1	0							31
31	31	120	120	4.0	2	2/2	1	0							32
32	32	124	124	4.0	2	2/2	1	0					line		33
33	33	128	128	4.0	2	2/2	1	0							34
34	34	132	132	4.0	2	2/2	1	0							35
35	35	136	136	4.0	2	2/2	1	0							36
36	36	140	140	4.0	2	2/2	1	0					page		37
37	37	144	144	4.0	2	2/2	1	0							38
38	38	148	148	4.0	2	2/2	1	0							39
39	39	152	152	4.0	2	2/2	1	0							40
40	40	156	156	4.0	2	2/2	1	0					line		41
41	41	160	160	4.0	2	2/2	1	0							42
42	42	164	164	4.0	2	2/2	1	0							43
43	43	168	168	4.0	2	2/2	1	0							44
44	44	172	172	4.0	2	2/2	1	0					line		45
45	45	176	176	4.0	2	2/2	1	0							46
46	46	180	180	4.0	2	2/2	1	0							47
47	47	184	184	4.0	2	2/2	1	0					page		48
48	48	188	188	4.0	2	2/2	1	0							49
49	49	192	192	4.0	2	2/2	1	0							50
50	50	196	196	4.0	2	2/2	1	0					line		51
51	51	200	200	4.0	2	2/2	1	0							52
52	52	204	204	4.0	2	2/2	1	0							53
53	53	208	208	4.0	2	2/2	1	0					line		54
54	54	212	212	4.0	2	2/2	1	0							55
55	55	216	216	4.0	2	2/2	1	0							56
56	56	220	220	4.0	2	2/2	1	0							57
57	57	224	224	4.0	2	2/2	1	0					page		58
58	58	228	228	4.0	2	2/2	1	0							59
59	59	232	232	4.0	2	2/2	1	0							60
60	60	236	236	4.0	2	2/2	1	0					line		61
61	61	240	240	4.0	2	2/2	1	0							62
62	62	244	244	4.0	2	2/2	1	0							63
