mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	1	-1	2/4	1/2	0	firstMeasure					2
2	2	-1	2/4	1/2	0						3
3	3	-1	2/4	1/2	0						4
4	4	-1	2/4	1/2	0						5
5	5	-1	2/4	1/2	0						6
6	6	-1	2/4	1/2	0						7
7	7	-1	2/4	1/2	0						8
8	8	-1	2/4	1/2	0						9
9	9	-1	2/4	1/2	0						10
10	10	-1	2/4	1/2	0						11
11	11	-1	2/4	1/2	0						12
12	12	-1	2/4	1/2	0						13
13	13	-1	2/4	1/2	0						14
14	14	-1	2/4	1/2	0						15
15	15	-1	2/4	1/2	0						16
16	16	-1	2/4	1/2	0						17
17	17	-1	2/4	1/2	0						18
18	18	-1	2/4	1/2	0						19
19	19	-1	2/4	1/2	0						20
20	20	-1	2/4	1/2	0						21
21	21	-1	2/4	1/2	0						22
22	22	-1	2/4	1/2	0						23
23	23	-1	2/4	1/2	0						24
24	24	-1	2/4	1/2	0						25
25	25	-1	2/4	1/2	0						26
26	26	-1	2/4	1/2	0						27
27	27	-1	2/4	1/2	0						28
28	28	-1	2/4	1/2	0						29
29	29	-1	2/4	1/2	0						30
30	30	-1	2/4	1/2	0						31
31	31	-1	2/4	1/2	0						32
32	32	-1	2/4	1/2	0						33
33	33	-1	2/4	1/2	0						34
34	34	-1	2/4	1/2	0						35
35	35	-1	2/4	1/2	0						36
36	36	-1	2/4	1/2	0						37
37	37	-1	2/4	1/2	0						38
38	38	-1	2/4	1/2	0						39
39	39	-1	2/4	1/2	0						40
40	40	-1	2/4	1/2	0						41
41	41	-1	2/4	1/2	0						42
42	42	-1	2/4	1/2	0						43
43	43	-1	2/4	1/2	0						44
44	44	-1	2/4	1/2	0						45
45	45	-1	2/4	1/2	0						46
46	46	-1	2/4	1/2	0						47
47	47	-1	2/4	1/2	0						48
48	48	-1	2/4	1/2	0						49
49	49	-1	2/4	1/2	0						50
50	50	-1	2/4	1/2	0						51
51	51	-1	2/4	1/2	0						52
52	52	-1	2/4	1/2	0						53
53	53	-1	2/4	1/2	0						54
54	54	-1	2/4	1/2	0						55
55	55	-1	2/4	1/2	0						56
56	56	-1	2/4	1/2	0						57
57	57	-1	2/4	1/2	0						58
58	58	-1	2/4	1/2	0						59
59	59	-1	2/4	1/2	0						60
60	60	-1	2/4	1/2	0						61
61	61	-1	2/4	1/2	0						62
62	62	-1	2/4	1/2	0						63
63	63	-1	2/4	1/2	0						64
64	64	-1	2/4	1/2	0						65
65	65	-1	2/4	1/2	0						66
66	66	-1	2/4	1/2	0						67
67	67	-1	2/4	1/2	0						68
68	68	-1	2/4	1/2	0						69
69	69	-1	2/4	1/2	0						70
70	70	-1	2/4	1/2	0						71
71	71	-1	2/4	1/2	0						72
72	72	-1	2/4	1/2	0						73
73	73	-1	2/4	1/2	0						74
74	74	-1	2/4	1/2	0						75
75	75	-1	2/4	1/2	0						76
76	76	-1	2/4	1/2	0						77
77	77	-1	2/4	1/2	0						78
78	78	-1	2/4	1/2	0						79
79	79	-1	2/4	1/2	0						80
80	80	-1	2/4	1/2	0						81
81	81	-1	2/4	1/2	0						82
82	82	-1	2/4	1/2	0						83
83	83	-1	2/4	1/2	0						84
84	84	-1	2/4	1/2	0						85
85	85	-1	2/4	1/2	0						86
86	86	-1	2/4	1/2	0						87
87	87	-1	2/4	1/2	0						88
88	88	-1	2/4	1/2	0						89
89	89	-1	2/4	1/2	0						90
90	90	-1	2/4	1/2	0						91
91	91	-1	2/4	1/2	0						92
92	92	-1	2/4	1/2	0						93
93	93	-1	2/4	1/2	0						94
94	94	-1	2/4	1/2	0						95
95	95	-1	2/4	1/2	0						96
96	96	-1	2/4	1/2	0						97
97	97	-1	2/4	1/2	0						98
98	98	-1	2/4	1/2	0						99
99	99	-1	2/4	1/2	0						100
100	100	-1	2/4	1/2	0						101
101	101	-1	2/4	1/2	0						102
102	102	-1	2/4	1/2	0						103
103	103	-1	2/4	1/2	0						104
104	104	-1	2/4	1/2	0						105
105	105	-1	2/4	1/2	0						106
106	106	-1	2/4	1/2	0						107
107	107	-1	2/4	1/2	0						108
108	108	-1	2/4	1/2	0						109
109	109	-1	2/4	1/2	0						110
110	110	-1	2/4	1/2	0						111
111	111	-1	2/4	1/2	0						112
112	112	-1	2/4	1/2	0						113
113	113	-1	2/4	1/2	0						114
114	114	-1	2/4	1/2	0						115
115	115	-1	2/4	1/2	0						116
116	116	-1	2/4	1/2	0						117
117	117	-1	2/4	1/2	0						118
118	118	-1	2/4	1/2	0						119
119	119	-1	2/4	1/2	0						120
120	120	-1	2/4	1/2	0						121
121	121	-1	2/4	1/2	0						122
122	122	-1	2/4	1/2	0						123
123	123	-1	2/4	1/2	0						124
124	124	-1	2/4	1/2	0						125
125	125	-1	2/4	1/2	0						126
126	126	-1	2/4	1/2	0						127
127	127	-1	2/4	1/2	0						128
128	128	-1	2/4	1/2	0						129
129	129	-1	2/4	1/2	0						130
130	130	-1	2/4	1/2	0						131
131	131	-1	2/4	1/2	0						132
132	132	-1	2/4	1/2	0						133
133	133	-1	2/4	1/2	0						134
134	134	-1	2/4	1/2	0						135
135	135	-1	2/4	1/2	0						136
136	136	-1	2/4	1/2	0						137
137	137	-1	2/4	1/2	0						138
138	138	-1	2/4	1/2	0						139
139	139	-1	2/4	1/2	0						140
140	140	-1	2/4	1/2	0						141
141	141	-1	2/4	1/2	0						142
142	142	-1	2/4	1/2	0						143
143	143	-1	2/4	1/2	0						144
144	144	-1	2/4	1/2	0						145
145	145	-1	2/4	1/2	0						146
146	146	-1	2/4	1/2	0						147
147	147	-1	2/4	1/2	0						148
148	148	-1	2/4	1/2	0						149
149	149	-1	2/4	1/2	0						150
150	150	-1	2/4	1/2	0						151
151	151	-1	2/4	1/2	0						152
152	152	-1	2/4	1/2	0						153
153	153	-1	2/4	1/2	0						154
154	154	-1	2/4	1/2	0						155
155	155	-1	2/4	1/2	0						156
156	156	-1	2/4	1/2	0						157
157	157	-1	2/4	1/2	0						158
158	158	-1	2/4	1/2	0						159
159	159	-1	2/4	1/2	0						160
160	160	-1	2/4	1/2	0						161
161	161	-1	2/4	1/2	0						162
162	162	-1	2/4	1/2	0						163
163	163	-1	2/4	1/2	0						164
164	164	-1	2/4	1/2	0						165
165	165	-1	2/4	1/2	0						166
166	166	-1	2/4	1/2	0						167
167	167	-1	2/4	1/2	0						168
168	168	-1	2/4	1/2	0						169
169	169	-1	2/4	1/2	0						170
170	170	-1	2/4	1/2	0						171
171	171	-1	2/4	1/2	0						172
172	172	-1	2/4	1/2	0						173
173	173	-1	2/4	1/2	0						174
174	174	-1	2/4	1/2	0						175
175	175	-1	2/4	1/2	0						176
176	176	-1	2/4	1/2	0						177
177	177	-1	2/4	1/2	0						178
178	178	-1	2/4	1/2	0						179
179	179	-1	2/4	1/2	0						180
180	180	-1	2/4	1/2	0						181
181	181	-1	2/4	1/2	0						182
182	182	-1	2/4	1/2	0						183
183	183	-1	2/4	1/2	0						184
184	184	-1	2/4	1/2	0						185
185	185	-1	2/4	1/2	0						186
186	186	-1	2/4	1/2	0						187
187	187	-1	2/4	1/2	0						188
188	188	-1	2/4	1/2	0						189
189	189	-1	2/4	1/2	0						190
190	190	-1	2/4	1/2	0						191
191	191	-1	2/4	1/2	0						192
192	192	-1	2/4	1/2	0						193
193	193	-1	2/4	1/2	0						194
194	194	-1	2/4	1/2	0						195
195	195	-1	2/4	1/2	0						196
196	196	-1	2/4	1/2	0						197
197	197	-1	2/4	1/2	0						198
198	198	-1	2/4	1/2	0						199
199	199	-1	2/4	1/2	0						200
200	200	-1	2/4	1/2	0						201
201	201	-1	2/4	1/2	0						202
202	202	-1	2/4	1/2	0						203
203	203	-1	2/4	1/2	0						204
204	204	-1	2/4	1/2	0						205
205	205	-1	2/4	1/2	0						206
206	206	-1	2/4	1/2	0						207
207	207	-1	2/4	1/2	0						208
208	208	-1	2/4	1/2	0						209
209	209	-1	2/4	1/2	0						210
210	210	-1	2/4	1/2	0						211
211	211	-1	2/4	1/2	0						212
212	212	-1	2/4	1/2	0						213
213	213	-1	2/4	1/2	0						214
214	214	-1	2/4	1/2	0						215
215	215	-1	2/4	1/2	0						216
216	216	-1	2/4	1/2	0						217
217	217	-1	2/4	1/2	0						218
218	218	-1	2/4	1/2	0						219
219	219	-1	2/4	1/2	0						220
220	220	-1	2/4	1/2	0						221
221	221	-1	2/4	1/2	0						222
222	222	-1	2/4	1/2	0						223
223	223	-1	2/4	1/2	0						224
224	224	-1	2/4	1/2	0						225
225	225	-1	2/4	1/2	0						226
226	226	-1	2/4	1/2	0						227
227	227	-1	2/4	1/2	0						228
228	228	-1	2/4	1/2	0						229
229	229	-1	2/4	1/2	0						230
230	230	-1	2/4	1/2	0						231
231	231	-1	2/4	1/2	0						232
232	232	-1	2/4	1/2	0						233
233	233	-1	2/4	1/2	0						234
234	234	-1	2/4	1/2	0						235
235	235	-1	2/4	1/2	0						236
236	236	-1	2/4	1/2	0						237
237	237	-1	2/4	1/2	0						238
238	238	-1	2/4	1/2	0						239
239	239	-1	2/4	1/2	0						240
240	240	-1	2/4	1/2	0						241
241	241	-1	2/4	1/2	0						242
242	242	-1	2/4	1/2	0						243
243	243	-1	2/4	1/2	0						244
244	244	-1	2/4	1/2	0						245
245	245	-1	2/4	1/2	0						246
246	246	-1	2/4	1/2	0						247
247	247	-1	2/4	1/2	0						248
248	248	-1	2/4	1/2	0						249
249	249	-1	2/4	1/2	0						250
250	250	-1	2/4	1/2	0						251
251	251	-1	2/4	1/2	0						252
252	252	-1	2/4	1/2	0						253
253	253	-1	2/4	1/2	0						254
254	254	-1	2/4	1/2	0						255
255	255	-1	2/4	1/2	0						256
