mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	4.0	-4	4/4	1	0						firstMeasure	2
2	2	4	4.0	-4	4/4	1	0							3
3	3	8	4.0	-4	4/4	1	0							4
4	4	12	4.0	-4	4/4	1	0							5
5	5	16	4.0	-4	4/4	1	0					line		6
6	6	20	4.0	-4	4/4	1	0							7
7	7	24	4.0	-4	4/4	1	0							8
8	8	28	4.0	-4	4/4	1	0							9
9	9	32	4.0	-4	4/4	1	0							10
10	10	36	4.0	-4	4/4	1	0							11
11	11	40	4.0	-4	4/4	1	0							12
12	12	44	4.0	-4	4/4	1	0					line		13
13	13	48	4.0	-4	4/4	1	0							14
14	14	52	4.0	-4	4/4	1	0							15
15	15	56	4.0	-4	4/4	1	0							16
16	16	60	4.0	-4	4/4	1	0							17
17	17	64	4.0	-4	4/4	1	0					page		18
18	18	68	4.0	-4	4/4	1	0							19
19	19	72	4.0	-4	4/4	1	0							20
20	20	76	4.0	-4	4/4	1	0							21
21	21	80	4.0	-4	4/4	1	0							22
22	22	84	4.0	-4	4/4	1	0					line		23
23	23	88	4.0	-4	4/4	1	0							24
24	24	92	4.0	-4	4/4	1	0							25
25	25	96	4.0	-4	4/4	1	0							26
26	26	100	4.0	-4	4/4	1	0							27
27	27	104	4.0	-4	4/4	1	0							28
28	28	108	4.0	-4	4/4	1	0					line		29
29	29	112	4.0	-4	4/4	1	0							30
30	30	116	4.0	-4	4/4	1	0							31
31	31	120	4.0	-4	4/4	1	0							32
32	32	124	4.0	-4	4/4	1	0							33
33	33	128	4.0	-4	4/4	1	0							34
34	34	132	4.0	-4	4/4	1	0							35
35	35	136	4.0	-4	4/4	1	0							36
36	36	140	4.0	-4	4/4	1	0							37
37	37	144	4.0	-4	4/4	1	0					page		38
38	38	148	4.0	-4	4/4	1	0							39
39	39	152	4.0	-4	4/4	1	0							40
40	40	156	4.0	-4	4/4	1	0							41
41	41	160	4.0	-4	4/4	1	0							42
42	42	164	4.0	-4	4/4	1	0					line		43
43	43	168	4.0	-4	4/4	1	0							44
44	44	172	4.0	-4	4/4	1	0							45
45	45	176	4.0	-4	4/4	1	0					line		46
46	46	180	4.0	-4	4/4	1	0							47
47	47	184	4.0	-4	4/4	1	0							48
48	48	188	4.0	-4	4/4	1	0					line		49
49	49	192	4.0	-4	4/4	1	0							50
50	50	196	4.0	-4	4/4	1	0							51
51	51	200	4.0	-4	4/4	1	0							52
52	52	204	4.0	-4	4/4	1	0							53
53	53	208	4.0	-4	4/4	1	0							54
54	54	212	4.0	-4	4/4	1	0					page		55
55	55	216	4.0	-4	4/4	1	0							56
56	56	220	4.0	-4	4/4	1	0							57
57	57	224	4.0	-4	4/4	1	0					line		58
58	58	228	4.0	-4	4/4	1	0							59
59	59	232	4.0	-4	4/4	1	0							60
60	60	236	4.0	-4	4/4	1	0							61
61	61	240	4.0	-4	4/4	1	0							62
62	62	244	4.0	-4	4/4	1	0					line		63
63	63	248	4.0	-4	4/4	1	0							64
64	64	252	4.0	-4	4/4	1	0							65
65	65	256	4.0	-4	4/4	1	0							66
66	66	260	4.0	-4	4/4	1	0					line		67
67	67	264	4.0	-4	4/4	1	0							68
68	68	268	4.0	-4	4/4	1	0							69
69	69	272	4.0	-4	4/4	1	0							70
70	70	276	4.0	-4	4/4	1	0							71
71	71	280	4.0	-4	4/4	1	0					page		72
72	72	284	4.0	-4	4/4	1	0							73
73	73	288	4.0	-4	4/4	1	0							74
74	74	292	4.0	-4	4/4	1	0							75
75	75	296	4.0	-4	4/4	1	0					line		76
76	76	300	4.0	-4	4/4	1	0							77
77	77	304	4.0	-4	4/4	1	0							78
78	78	308	4.0	-4	4/4	1	0							79
79	79	312	4.0	-4	4/4	1	0					line		80
80	80	316	4.0	-4	4/4	1	0							81
81	81	320	4.0	-4	4/4	1	0							82
82	82	324	4.0	-4	4/4	1	0							83
83	83	328	4.0	-4	4/4	1	0					line		84
84	84	332	4.0	-4	4/4	1	0							85
85	85	336	4.0	-4	4/4	1	0							86
86	86	340	4.0	-4	4/4	1	0							87
87	87	344	4.0	-4	4/4	1	0							88
88	88	348	4.0	-4	4/4	1	0							89
89	89	352	4.0	-4	4/4	1	0					page		90
90	90	356	4.0	-4	4/4	1	0							91
91	91	360	4.0	-4	4/4	1	0							92
92	92	364	4.0	-4	4/4	1	0							93
93	93	368	4.0	-4	4/4	1	0							94
94	94	372	4.0	-4	4/4	1	0					line		95
95	95	376	4.0	-4	4/4	1	0							96
96	96	380	4.0	-4	4/4	1	0							97
97	97	384	4.0	-4	4/4	1	0							98
98	98	388	4.0	-4	4/4	1	0							99
99	99	392	4.0	-4	4/4	1	0					line		100
100	100	396	4.0	-4	4/4	1	0							101
101	101	400	4.0	-4	4/4	1	0							102
102	102	404	4.0	-4	4/4	1	0							103
103	103	408	4.0	-4	4/4	1	0					line		104
104	104	412	4.0	-4	4/4	1	0							105
105	105	416	4.0	-4	4/4	1	0							106
106	106	420	4.0	-4	4/4	1	0					page		107
107	107	424	4.0	-4	4/4	1	0							108
108	108	428	4.0	-4	4/4	1	0							109
109	109	432	4.0	-4	4/4	1	0							110
110	110	436	4.0	-4	4/4	1	0							111
111	111	440	4.0	-4	4/4	1	0					line		112
112	112	444	4.0	-4	4/4	1	0							113
113	113	448	4.0	-4	4/4	1	0							114
114	114	452	4.0	-4	4/4	1	0					line		115
115	115	456	4.0	-4	4/4	1	0							116
116	116	460	4.0	-4	4/4	1	0							117
117	117	464	4.0	-4	4/4	1	0							118
118	118	468	4.0	-4	4/4	1	0					line		119
119	119	472	4.0	-4	4/4	1	0							120
120	120	476	4.0	-4	4/4	1	0							121
121	121	480	4.0	-4	4/4	1	0							122
122	122	484	4.0	-4	4/4	1	0							123
123	123	488	4.0	-4	4/4	1	0					page		124
124	124	492	4.0	-4	4/4	1	0							125
125	125	496	4.0	-4	4/4	1	0							126
126	126	500	4.0	-4	4/4	1	0					line		127
127	127	504	4.0	-4	4/4	1	0							128
128	128	508	4.0	-4	4/4	1	0							129
129	129	512	4.0	-4	4/4	1	0							130
130	130	516	4.0	-4	4/4	1	0							131
131	131	520	4.0	-4	4/4	1	0					line		132
132	132	524	4.0	-4	4/4	1	0							133
133	133	528	4.0	-4	4/4	1	0							134
134	134	532	4.0	-4	4/4	1	0							135
135	135	536	4.0	-4	4/4	1	0							136
136	136	540	4.0	-4	4/4	1	0							137
137	137	544	4.0	-4	4/4	1	0					line		138
138	138	548	4.0	-4	4/4	1	0							139
139	139	552	4.0	-4	4/4	1	0							140
140	140	556	4.0	-4	4/4	1	0							141
141	141	560	4.0	-4	4/4	1	0							142
142	142	564	4.0	-4	4/4	1	0					page		143
143	143	568	4.0	-4	4/4	1	0							144
144	144	572	4.0	-4	4/4	1	0							145
145	145	576	4.0	-4	4/4	1	0							146
146	146	580	4.0	-4	4/4	1	0					line		147
147	147	584	4.0	-4	4/4	1	0							148
148	148	588	4.0	-4	4/4	1	0							149
149	149	592	4.0	-4	4/4	1	0							150
150	150	596	4.0	-4	4/4	1	0							151
151	151	600	4.0	-4	4/4	1	0				end		lastMeasure	-1
