mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.5		0	3/8	3/4	4	1	1/8	1/8	1		-1	53	F3	3	7
1	0	0	0	0.5		0	3/8	3/4	3	1	1/8	1/8	1		-1	65	F4	4	4
1	0	0	0	1.0		0	3/8	3/4	2	1	1/4	1/4	1		2	74	D5	5	2
1	0	0	0	1.0		0	3/8	3/4	1	1	1/4	1/4	1		-1	77	F5	5	0
1	0	1/2	1/2	0.5		1/8	1/2	3/4	4	1	1/8	1/8	1		1	55	G3	3	8
1	0	1/2	1/2	0.5		1/8	1/2	3/4	3	1	1/8	1/8	1		-1	65	F4	4	5
1	0	1	1	0.5		1/4	5/8	3/4	4	1	1/8	1/8	1		3	57	A3	3	9
1	0	1	1	0.5		1/4	5/8	3/4	3	1	1/8	1/8	1		-1	65	F4	4	6
1	0	1	1	0.5		1/4	5/8	3/4	2	1	1/8	1/8	1	1	0	72	C5	5	3
1	0	1	1	0.5		1/4	5/8	3/4	1	1	1/8	1/8	1	1	-3	75	Eb5	5	1
2	1	3/2	3/2	1.0		0	0	3/4	4	1	1/4	1/4	1		-2	58	Bb3	3	26
2	1	3/2	3/2	1.0		0	0	3/4	3	1	1/4	1/4	1		-1	65	F4	4	22
2	1	3/2	3/2	0.5		0	0	3/4	2	1	1/8	1/8	1	-1	0	72	C5	5	16
2	1	3/2	3/2	0.5		0	0	3/4	1	1	1/8	1/8	1	-1	-3	75	Eb5	5	10
2	1	2	2	0.5		1/8	1/8	3/4	2	1	1/8	1/8	1		-2	70	Bb4	4	17
2	1	2	2	0.5		1/8	1/8	3/4	1	1	1/8	1/8	1		2	74	D5	5	11
2	1	5/2	5/2	0.5		1/4	1/4	3/4	2	1	1/8	1/8	1		-2	70	Bb4	4	18
2	1	5/2	5/2	0.5		1/4	1/4	3/4	1	1	1/8	1/8	1		2	74	D5	5	12
2	1	3	3	0.5		3/8	3/8	3/4	4	1	1/8	1/8	1		-1	41	F2	2	27
2	1	3	3	0.5		3/8	3/8	3/4	2	1	1/8	1/8	1		-3	63	Eb4	4	19
2	1	3	3	0.5		3/8	3/8	3/4	3	1	1/8	1/8	1		3	69	A4	4	23
2	1	3	3	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	13
2	1	7/2	7/2	0.5		1/2	1/2	3/4	4	1	1/8	1/8	1		3	45	A2	2	28
2	1	7/2	7/2	0.5		1/2	1/2	3/4	2	1	1/8	1/8	1		2	62	D4	4	20
2	1	7/2	7/2	0.5		1/2	1/2	3/4	3	1	1/8	1/8	1		-1	65	F4	4	24
2	1	7/2	7/2	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	14
2	1	4	4	0.5		5/8	5/8	3/4	4	1	1/8	1/8	1		-1	41	F2	2	29
2	1	4	4	0.5		5/8	5/8	3/4	2	1	1/8	1/8	1	1	-3	63	Eb4	4	21
2	1	4	4	0.5		5/8	5/8	3/4	3	1	1/8	1/8	1		3	69	A4	4	25
2	1	4	4	0.5		5/8	5/8	3/4	1	1	1/8	1/8	1	1	0	72	C5	5	15
3	2	9/2	9/2	1.0		0	0	3/4	4	1	1/4	1/4	1		-2	46	Bb2	2	46
3	2	9/2	9/2	0.5		0	0	3/4	2	1	1/8	1/8	1	-1	-3	63	Eb4	4	36
3	2	9/2	9/2	1.0		0	0	3/4	3	1	1/4	1/4	1		-1	65	F4	4	42
3	2	9/2	9/2	0.5		0	0	3/4	1	1	1/8	1/8	1	-1	0	72	C5	5	30
3	2	5	5	0.5		1/8	1/8	3/4	2	1	1/8	1/8	1		2	62	D4	4	37
3	2	5	5	0.5		1/8	1/8	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	31
3	2	11/2	11/2	0.5		1/4	1/4	3/4	2	1	1/8	1/8	1		2	62	D4	4	38
3	2	11/2	11/2	0.5		1/4	1/4	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	32
3	2	6	6	0.5		3/8	3/8	3/4	4	1	1/8	1/8	1		-1	53	F3	3	47
3	2	6	6	0.5		3/8	3/8	3/4	2	1	1/8	1/8	1		0	60	C4	4	39
3	2	6	6	0.5		3/8	3/8	3/4	3	1	1/8	1/8	1		-1	65	F4	4	43
3	2	6	6	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		3	69	A4	4	33
3	2	13/2	13/2	0.5		1/2	1/2	3/4	4	1	1/8	1/8	1		-2	58	Bb3	3	48
3	2	13/2	13/2	0.5		1/2	1/2	3/4	2	1	1/8	1/8	1		2	62	D4	4	40
3	2	13/2	13/2	0.5		1/2	1/2	3/4	3	1	1/8	1/8	1		-1	65	F4	4	44
3	2	13/2	13/2	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	34
3	2	7	7	0.5		5/8	5/8	3/4	4	1	1/8	1/8	1		3	57	A3	3	49
3	2	7	7	0.5		5/8	5/8	3/4	2	1	1/8	1/8	1	1	-1	65	F4	4	41
3	2	7	7	0.5		5/8	5/8	3/4	3	1	1/8	1/8	1		-1	65	F4	4	45
3	2	7	7	0.5		5/8	5/8	3/4	1	1	1/8	1/8	1	1	0	72	C5	5	35
4	3	15/2	15/2	1.0		0	0	3/4	4	1	1/4	1/4	1		-2	58	Bb3	3	66
4	3	15/2	15/2	0.5		0	0	3/4	2	1	1/8	1/8	1	-1	-1	65	F4	4	56
4	3	15/2	15/2	1.0		0	0	3/4	3	1	1/4	1/4	1		-1	65	F4	4	62
4	3	15/2	15/2	0.5		0	0	3/4	1	1	1/8	1/8	1	-1	0	72	C5	5	50
4	3	8	8	0.5		1/8	1/8	3/4	2	1	1/8	1/8	1		-2	70	Bb4	4	57
4	3	8	8	0.5		1/8	1/8	3/4	1	1	1/8	1/8	1		2	74	D5	5	51
4	3	17/2	17/2	0.5		1/4	1/4	3/4	2	1	1/8	1/8	1		-2	70	Bb4	4	58
4	3	17/2	17/2	0.5		1/4	1/4	3/4	1	1	1/8	1/8	1		2	74	D5	5	52
4	3	9	9	0.5		3/8	3/8	3/4	4	1	1/8	1/8	1		-1	41	F2	2	67
4	3	9	9	0.5		3/8	3/8	3/4	3	1	1/8	1/8	1		-1	65	F4	4	63
4	3	9	9	0.5		3/8	3/8	3/4	2	1	1/8	1/8	1		3	69	A4	4	59
4	3	9	9	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	53
4	3	19/2	19/2	0.5		1/2	1/2	3/4	4	1	1/8	1/8	1		-2	46	Bb2	2	68
4	3	19/2	19/2	0.5		1/2	1/2	3/4	3	1	1/8	1/8	1		-1	65	F4	4	64
4	3	19/2	19/2	0.5		1/2	1/2	3/4	2	1	1/8	1/8	1		-2	70	Bb4	4	60
4	3	19/2	19/2	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		2	74	D5	5	54
4	3	10	10	0.5		5/8	5/8	3/4	4	1	1/8	1/8	1		-3	39	Eb2	2	69
4	3	10	10	0.5		5/8	5/8	3/4	3	1	1/8	1/8	1		1	67	G4	4	65
4	3	10	10	0.5		5/8	5/8	3/4	2	1	1/8	1/8	1		0	72	C5	5	61
4	3	10	10	0.5		5/8	5/8	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	55
5	4	21/2	21/2	0.5		0	0	3/4	4	1	1/8	1/8	1		-1	41	F2	2	80
5	4	21/2	21/2	1.0		0	0	3/4	3	1	1/4	1/4	1		-1	65	F4	4	76
5	4	21/2	21/2	1.0		0	0	3/4	2	1	1/4	1/4	1		3	69	A4	4	73
5	4	21/2	21/2	1.0		0	0	3/4	1	1	1/4	1/4	1		0	72	C5	5	70
5	4	11	11	0.5		1/8	1/8	3/4	4	1	1/8	1/8	1		-1	53	F3	3	81
